"module name","license","repository"
"aproba@1.1.1","ISC","https://github.com/iarna/aproba"
"archy@1.0.0","MIT","https://github.com/substack/node-archy"
"are-we-there-yet@1.0.6","ISC","https://github.com/iarna/are-we-there-yet"
"are-we-there-yet@1.1.2","ISC","https://github.com/iarna/are-we-there-yet"
"argparse@1.0.9","MIT","https://github.com/nodeca/argparse"
"argv@0.0.2","MIT*",""
"aria-query@0.3.0","Apache-2.0","https://github.com/A11yance/aria-query"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.0.1","MIT","https://github.com/jonschlinkert/arr-flatten"
"array-differ@1.0.0","MIT","https://github.com/sindresorhus/array-differ"
"array-equal@1.0.0","MIT","https://github.com/component/array-equal"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"array-includes@3.0.2","MIT","https://github.com/ljharb/array-includes"
"array-index@1.0.0","MIT","https://github.com/TooTallNate/array-index"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique"
"array.prototype.find@2.0.3","MIT","https://github.com/paulmillr/Array.prototype.find"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"asap@2.0.5","MIT","https://github.com/kriskowal/asap"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1"
"assert-plus@0.2.0","MIT","https://github.com/mcavage/node-assert-plus"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert"
"ast-types-flow@0.0.7","ISC","https://github.com/kyldvs/ast-types-flow"
"ast-types@0.9.6","MIT","https://github.com/benjamn/ast-types"
"async-each@1.0.1","MIT","https://github.com/paulmillr/async-each"
"async-some@1.0.2","ISC","https://github.com/othiym23/async-some"
"async@0.2.10","MIT","https://github.com/caolan/async"
"async@0.9.2","MIT","https://github.com/caolan/async"
"async@1.5.2","MIT","https://github.com/caolan/async"
"async@2.1.5","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"autoprefixer@6.7.2","MIT","https://github.com/postcss/autoprefixer"
"autoprefixer@6.7.7","MIT","https://github.com/postcss/autoprefixer"
"aws-sign2@0.6.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.2.1","MIT","https://github.com/mhart/aws4"
"aws4@1.4.1","MIT","https://github.com/mhart/aws4"
"aws4@1.5.0","MIT","https://github.com/mhart/aws4"
"aws4@1.6.0","MIT","https://github.com/mhart/aws4"
"babel-cli@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-cli"
"babel-code-frame@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"babel-core@6.18.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"babel-core@6.22.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"babel-core@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"babel-eslint@7.1.1","MIT","https://github.com/babel/babel-eslint"
"babel-generator@6.19.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"babel-generator@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"babel-helper-bindify-decorators@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-bindify-decorators"
"babel-helper-builder-binary-assignment-operator-visitor@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor"
"babel-helper-builder-react-jsx@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx"
"babel-helper-call-delegate@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate"
"babel-helper-define-map@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map"
"babel-helper-explode-assignable-expression@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression"
"babel-helper-explode-class@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-class"
"babel-helper-function-name@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"babel-helper-get-function-arity@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"babel-helper-hoist-variables@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables"
"babel-helper-optimise-call-expression@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression"
"babel-helper-regex@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex"
"babel-helper-remap-async-to-generator@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator"
"babel-helper-replace-supers@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers"
"babel-helpers@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers"
"babel-jest@18.0.0","BSD-3-Clause","https://github.com/facebook/jest"
"babel-jest@19.0.0","BSD-3-Clause","https://github.com/facebook/jest"
"babel-loader@6.2.10","MIT","https://github.com/babel/babel-loader"
"babel-loader@6.2.8","MIT","https://github.com/babel/babel-loader"
"babel-loader@6.4.0","MIT","https://github.com/babel/babel-loader"
"babel-messages@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-messages"
"babel-plugin-add-module-exports@0.2.1","MIT","https://github.com/59naga/babel-plugin-add-module-exports"
"babel-plugin-check-es2015-constants@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-check-es2015-constants"
"babel-plugin-import@1.1.1","MIT",""
"babel-plugin-istanbul@3.1.2","BSD-3-Clause","https://github.com/istanbuljs/babel-plugin-istanbul"
"babel-plugin-istanbul@4.0.0","BSD-3-Clause","https://github.com/istanbuljs/babel-plugin-istanbul"
"babel-plugin-jest-hoist@18.0.0","BSD-3-Clause","https://github.com/facebook/jest"
"babel-plugin-jest-hoist@19.0.0","BSD-3-Clause","https://github.com/facebook/jest"
"babel-plugin-module-resolver@2.4.0","MIT","https://github.com/tleunen/babel-plugin-module-resolver"
"babel-plugin-react-docgen@1.4.2","MIT","https://github.com/kadirahq/babel-plugin-react-docgen"
"babel-plugin-react-intl@2.3.1","BSD-3-Clause","https://github.com/yahoo/babel-plugin-react-intl"
"babel-plugin-react-require@3.0.0","MIT","https://github.com/vslinko/babel-plugin-react-require"
"babel-plugin-recharts@1.1.0","MIT",""
"babel-plugin-styled-components@1.0.0","MIT","https://github.com/styled-components/babel-plugin-styled-components"
"babel-plugin-syntax-async-functions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-functions"
"babel-plugin-syntax-async-generators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"babel-plugin-syntax-class-constructor-call@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-constructor-call"
"babel-plugin-syntax-class-properties@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-properties"
"babel-plugin-syntax-decorators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-decorators"
"babel-plugin-syntax-do-expressions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-do-expressions"
"babel-plugin-syntax-dynamic-import@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"babel-plugin-syntax-exponentiation-operator@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-exponentation-operator"
"babel-plugin-syntax-export-extensions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-extensions"
"babel-plugin-syntax-flow@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-flow"
"babel-plugin-syntax-function-bind@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-function-bind"
"babel-plugin-syntax-jsx@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx"
"babel-plugin-syntax-object-rest-spread@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"babel-plugin-syntax-trailing-function-commas@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-trailing-function-commas"
"babel-plugin-transform-async-generator-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-generator-functions"
"babel-plugin-transform-async-to-generator@6.16.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator"
"babel-plugin-transform-async-to-generator@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator"
"babel-plugin-transform-class-constructor-call@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-constructor-call"
"babel-plugin-transform-class-properties@6.16.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties"
"babel-plugin-transform-class-properties@6.19.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties"
"babel-plugin-transform-class-properties@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties"
"babel-plugin-transform-class-properties@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties"
"babel-plugin-transform-decorators@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-decorators"
"babel-plugin-transform-do-expressions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-do-expressions"
"babel-plugin-transform-es2015-arrow-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-arrow-functions"
"babel-plugin-transform-es2015-block-scoped-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoped-functions"
"babel-plugin-transform-es2015-block-scoping@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoping"
"babel-plugin-transform-es2015-classes@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-classes"
"babel-plugin-transform-es2015-computed-properties@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-computed-properties"
"babel-plugin-transform-es2015-destructuring@6.16.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-destructuring"
"babel-plugin-transform-es2015-destructuring@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-destructuring"
"babel-plugin-transform-es2015-duplicate-keys@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-duplicate-keys"
"babel-plugin-transform-es2015-for-of@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-for-of"
"babel-plugin-transform-es2015-function-name@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-function-name"
"babel-plugin-transform-es2015-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-literals"
"babel-plugin-transform-es2015-modules-amd@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-amd"
"babel-plugin-transform-es2015-modules-commonjs@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-commonjs"
"babel-plugin-transform-es2015-modules-systemjs@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-systemjs"
"babel-plugin-transform-es2015-modules-umd@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-umd"
"babel-plugin-transform-es2015-object-super@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-object-super"
"babel-plugin-transform-es2015-parameters@6.17.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-parameters"
"babel-plugin-transform-es2015-parameters@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-parameters"
"babel-plugin-transform-es2015-shorthand-properties@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-shorthand-properties"
"babel-plugin-transform-es2015-spread@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-spread"
"babel-plugin-transform-es2015-sticky-regex@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-sticky-regex"
"babel-plugin-transform-es2015-template-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-template-literals"
"babel-plugin-transform-es2015-typeof-symbol@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-typeof-symbol"
"babel-plugin-transform-es2015-unicode-regex@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-unicode-regex"
"babel-plugin-transform-exponentiation-operator@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-exponentiation-operator"
"babel-plugin-transform-export-extensions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-export-extensions"
"babel-plugin-transform-flow-strip-types@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-flow-strip-types"
"babel-plugin-transform-function-bind@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-function-bind"
"babel-plugin-transform-object-rest-spread@6.16.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-rest-spread"
"babel-plugin-transform-object-rest-spread@6.19.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-rest-spread"
"babel-plugin-transform-object-rest-spread@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-rest-spread"
"babel-plugin-transform-object-rest-spread@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-rest-spread"
"babel-plugin-transform-react-constant-elements@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-constant-elements"
"babel-plugin-transform-react-constant-elements@6.9.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-constant-elements"
"babel-plugin-transform-react-display-name@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-display-name"
"babel-plugin-transform-react-jsx-self@6.11.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-self"
"babel-plugin-transform-react-jsx-self@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-self"
"babel-plugin-transform-react-jsx-source@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-source"
"babel-plugin-transform-react-jsx-source@6.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx-source"
"babel-plugin-transform-react-jsx@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx"
"babel-plugin-transform-react-jsx@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-react-jsx"
"babel-plugin-transform-regenerator@6.16.1","BSD","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator"
"babel-plugin-transform-regenerator@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator"
"babel-plugin-transform-runtime@6.15.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-runtime"
"babel-plugin-transform-runtime@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-runtime"
"babel-plugin-transform-strict-mode@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-strict-mode"
"babel-polyfill@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"babel-preset-env@0.0.6","MIT","https://github.com/babel/babel-preset-env"
"babel-preset-env@1.2.1","MIT","https://github.com/babel/babel-preset-env"
"babel-preset-es2015@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-es2015"
"babel-preset-es2015@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-es2015"
"babel-preset-es2016@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-es2016"
"babel-preset-es2017@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-es2017"
"babel-preset-jest@18.0.0","BSD-3-Clause","https://github.com/facebook/jest"
"babel-preset-jest@19.0.0","BSD-3-Clause","https://github.com/facebook/jest"
"babel-preset-latest@6.16.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-latest"
"babel-preset-react-app@1.0.0","BSD-3-Clause","https://github.com/facebookincubator/create-react-app"
"babel-preset-react-app@2.2.0","BSD-3-Clause","https://github.com/facebookincubator/create-react-app"
"babel-preset-react@6.16.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-react"
"babel-preset-react@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-react"
"babel-preset-stage-0@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-0"
"babel-preset-stage-1@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-1"
"babel-preset-stage-2@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-2"
"babel-preset-stage-3@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-3"
"babel-register@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-register"
"babel-runtime@6.11.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"babel-runtime@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"babel-runtime@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"babel-runtime@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"babel-template@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"babel-traverse@6.23.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"babel-types@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"babylon@5.8.38","MIT","https://github.com/babel/babel"
"babylon@6.16.1","MIT","https://github.com/babel/babylon"
"balanced-match@0.3.0","MIT","https://github.com/juliangruber/balanced-match"
"balanced-match@0.4.2","MIT","https://github.com/juliangruber/balanced-match"
"base64-js@1.2.0","MIT","https://github.com/beatgammit/base64-js"
"bash-color@0.0.4","MIT","https://github.com/mbilokonsky/bash-color"
"batch@0.5.3","MIT","https://github.com/visionmedia/batch"
"bcrypt-pbkdf@1.0.0","BSD-4-Clause",""
"bcrypt-pbkdf@1.0.1","BSD-3-Clause",""
"big.js@3.1.3","MIT","https://github.com/MikeMcl/big.js"
"binary-extensions@1.8.0","MIT","https://github.com/sindresorhus/binary-extensions"
"bl@1.0.1","MIT","https://github.com/rvagg/bl"
"bl@1.1.2","MIT","https://github.com/rvagg/bl"
"block-stream@0.0.8","ISC","https://github.com/isaacs/block-stream"
"block-stream@0.0.9","ISC","https://github.com/isaacs/block-stream"
"bluebird@3.5.0","MIT","https://github.com/petkaantonov/bluebird"
"boolbase@1.0.0","ISC","https://github.com/fb55/boolbase"
"boom@2.10.1","BSD-3-Clause","https://github.com/hapijs/boom"
"bowser@1.6.0","MIT","https://github.com/ded/bowser"
"boxen@0.6.0","MIT","https://github.com/sindresorhus/boxen"
"brace-expansion@1.1.3","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@1.1.6","MIT","https://github.com/juliangruber/brace-expansion"
"braces@1.8.5","MIT","https://github.com/jonschlinkert/braces"
"browser-resolve@1.11.2","MIT","https://github.com/shtylman/node-browser-resolve"
"browserify-aes@0.4.0","MIT","https://github.com/calvinmetcalf/browserify-aes"
"browserify-zlib@0.1.4","MIT","https://github.com/devongovett/browserify-zlib"
"browserslist@1.7.6","MIT","https://github.com/ai/browserslist"
"bser@1.0.2","Apache-2.0","https://github.com/facebook/watchman"
"bser@2.0.0","Apache-2.0","https://github.com/facebook/watchman"
"buffer-shims@1.0.0","MIT","https://github.com/calvinmetcalf/buffer-shims"
"buffer@4.9.1","MIT","https://github.com/feross/buffer"
"buffer@5.0.5","MIT","https://github.com/feross/buffer"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"builtin-status-codes@3.0.0","MIT","https://github.com/bendrucker/builtin-status-codes"
"builtins@0.0.7","MIT","https://github.com/juliangruber/builtins"
"bytes@2.3.0","MIT","https://github.com/visionmedia/bytes.js"
"caller-path@0.1.0","MIT","https://github.com/sindresorhus/caller-path"
"callsites@0.2.0","MIT","https://github.com/sindresorhus/callsites"
"callsites@2.0.0","MIT","https://github.com/sindresorhus/callsites"
"camel-case@3.0.0","MIT","https://github.com/blakeembrey/camel-case"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@1.2.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@3.0.0","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-api@1.5.3","MIT","https://github.com/nyalab/caniuse-api"
"caniuse-db@1.0.30000634","CC-BY-4.0","https://github.com/Fyrd/caniuse"
"capture-stack-trace@1.0.0","MIT","https://github.com/floatdrop/capture-stack-trace"
"cardinal@1.0.0","MIT","https://github.com/thlorenz/cardinal"
"case-sensitive-paths-webpack-plugin@1.1.4","MIT","https://github.com/Urthen/case-sensitive-paths-webpack-plugin"
"caseless@0.11.0","Apache-2.0","https://github.com/mikeal/caseless"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"center-align@0.1.3","MIT","https://github.com/jonschlinkert/center-align"
"chalk@0.4.0","MIT","https://github.com/sindresorhus/chalk"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"change-emitter@0.1.3","MIT","https://github.com/acdlite/change-emitter"
"char-spinner@1.0.1","ISC","https://github.com/isaacs/char-spinner"
"cheerio@0.22.0","MIT","https://github.com/cheeriojs/cheerio"
"chmodr@1.0.2","ISC","https://github.com/isaacs/chmodr"
"chokidar@1.6.1","MIT","https://github.com/paulmillr/chokidar"
"chownr@1.0.1","ISC","https://github.com/isaacs/chownr"
"ci-info@1.0.0","MIT","https://github.com/watson/ci-info"
"cint@8.2.1","ISC","https://github.com/metaraine/cint"
"circular-json@0.3.1","MIT","https://github.com/WebReflection/circular-json"
"clap@1.1.2","MIT","https://github.com/lahmatiy/clap"
"classnames@2.2.5","MIT","https://github.com/JedWatson/classnames"
"clean-css@4.0.8","MIT","https://github.com/jakubpawlowicz/clean-css"
"cli-boxes@1.0.0","MIT","https://github.com/sindresorhus/cli-boxes"
"cli-cursor@1.0.2","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-cursor@2.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-table@0.3.1","MIT*","https://github.com/Automattic/cli-table"
"cli-usage@0.1.4","MIT",""
"cli-width@2.1.0","ISC","https://github.com/knownasilya/cli-width"
"cliui@2.1.0","ISC","https://github.com/bcoe/cliui"
"cliui@3.2.0","ISC","https://github.com/yargs/cliui"
"clone-regexp@1.0.0","MIT","https://github.com/sindresorhus/clone-regexp"
"clone@1.0.2","MIT","https://github.com/pvorb/node-clone"
"cmd-shim@2.0.2","BSD-2-Clause","https://github.com/ForbesLindesay/cmd-shim"
"co@4.6.0","MIT","https://github.com/tj/co"
